year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.079336175,0.141767118,0.056331626,0.164223695,0.110513631,0.110638905
2011,0.093203704,0.169036025,0.065175546,0.196264779,0.131076694,0.131287198
2012,0.107680506,0.193061308,0.076294355,0.223518067,0.150351139,0.150591097
2013,0.123598092,0.216955612,0.089198772,0.250484904,0.170231721,0.170484827
2014,0.136753322,0.241953327,0.098014575,0.279685618,0.189356374,0.189638187
2015,0.146867589,0.267347713,0.102469182,0.31058744,0.207030112,0.207306797
2016,0.158142636,0.294706834,0.107969933,0.343664825,0.22645206,0.226835108
2017,0.175787,0.324658591,0.121042916,0.378114995,0.250232573,0.250712784
2018,0.194713594,0.354187914,0.136002398,0.411540874,0.274413831,0.274850406
2019,0.211672148,0.385254298,0.148020818,0.447332157,0.298443142,0.298909401
2020,0.226514936,0.415305994,0.157036387,0.482926914,0.320890334,0.321439658
2021,0.241729492,0.445236711,0.166792554,0.518204514,0.343477989,0.344023358
2022,0.257570961,0.476961075,0.176430537,0.555684179,0.367294169,0.36800105
2023,0.273966411,0.511483392,0.185926592,0.596588442,0.392603259,0.393293247
2024,0.291280875,0.54341025,0.19861707,0.634296103,0.417248131,0.417601601
2025,0.30791289,0.574947459,0.209925024,0.670678912,0.441405165,0.442166157
2026,0.325786938,0.608414185,0.222120241,0.709993522,0.467161001,0.468009883
2027,0.346331424,0.643159019,0.23712836,0.750017857,0.494685599,0.495522068
2028,0.367809332,0.678362244,0.2534633,0.790095321,0.523075197,0.523841706
2029,0.38869432,0.712533501,0.269379476,0.82874701,0.55043267,0.551372306
2030,0.410160057,0.745241925,0.286769213,0.865261501,0.577690033,0.578518495
2031,0.432492759,0.778882504,0.305194632,0.902984117,0.605651918,0.606519426
2032,0.453643064,0.814207683,0.320874842,0.943910306,0.633937379,0.634759792
2033,0.47714068,0.850038086,0.340323134,0.984209152,0.663636718,0.664617531
2034,0.503082381,0.882425168,0.36319242,1.018651059,0.692704436,0.693578654
2035,0.52899124,0.915224575,0.387081662,1.052783333,0.72180388,0.722748813
2036,0.554993845,0.948762938,0.409371068,1.090627238,0.751807969,0.752812845
2037,0.577886584,0.983020612,0.428363764,1.129335301,0.780313036,0.781471377
2038,0.59857688,1.018613668,0.443807914,1.169724708,0.808732006,0.810077729
2039,0.622588769,1.054649849,0.46334073,1.209083839,0.838525204,0.839802486
2040,0.654093725,1.09224089,0.493122562,1.248922295,0.872968375,0.874105864
2041,0.682898315,1.129672079,0.518610214,1.289961728,0.90631098,0.907559385
2042,0.712160993,1.168504547,0.544049755,1.332062696,0.940061544,0.941344539
2043,0.736796063,1.203420819,0.565065632,1.370731127,0.970198436,0.971611317
2044,0.761165652,1.240028961,0.585371562,1.412136792,1.000735535,1.002248742
2045,0.788232628,1.279473041,0.607092783,1.455677436,1.033518349,1.034448277
2046,0.815613877,1.31741672,0.631450001,1.497265202,1.066327779,1.067525216
2047,0.844196923,1.353655335,0.65477025,1.536777938,1.098603598,1.099816583
2048,0.868595324,1.388786482,0.676599741,1.576188273,1.128668851,1.130080569
2049,0.893823793,1.426670033,0.697568679,1.618024708,1.159947824,1.161042634
2050,0.919382509,1.467743308,0.716788799,1.664759451,1.193337403,1.19493076
2051,0.94642319,1.507710439,0.739510173,1.709661678,1.226895373,1.228363493
2052,0.974436215,1.548059559,0.763993857,1.753336583,1.2612234,1.262557913
2053,1.00255647,1.586277771,0.787252827,1.796080955,1.294272792,1.295665217
2054,1.02549879,1.6263022,0.803693229,1.841562583,1.325775364,1.327329657
2055,1.051638275,1.666157774,0.825259295,1.885867122,1.358606616,1.360358128
2056,1.081775895,1.706237863,0.851477322,1.929593982,1.393791174,1.395586689
2057,1.111325072,1.743803623,0.878939095,1.971528123,1.427460234,1.428995639
2058,1.142167872,1.784418768,0.905740389,2.014906604,1.463105518,1.464459763
2059,1.172098344,1.824328974,0.931786834,2.05916785,1.498166658,1.499321688
2060,1.199083677,1.865039153,0.953715197,2.105980094,1.531869696,1.53300609
2061,1.223697242,1.906438033,0.973994631,2.150221286,1.564853888,1.566304609
2062,1.253453145,1.947548155,0.99744683,2.196879322,1.600447168,1.602567052
2063,1.282846589,1.988981303,1.024836937,2.241728395,1.635552583,1.637513235
2064,1.31233893,2.029877045,1.047657687,2.287582971,1.670606687,1.672503096
2065,1.340465246,2.072410377,1.071382049,2.336153347,1.705862083,1.707177456
2066,1.370513495,2.115124234,1.097037173,2.381456312,1.742647688,1.744198979
2067,1.399566053,2.159157019,1.120139665,2.430709922,1.778761373,1.780282837
2068,1.425406333,2.200745791,1.139921135,2.477621415,1.812770062,1.815301606
2069,1.45159717,2.243101696,1.15984348,2.527765955,1.846978585,1.849077493
2070,1.483821093,2.284082212,1.18957806,2.571715299,1.883736467,1.885791492
2071,1.517131518,2.325527791,1.219086566,2.616894412,1.921278764,1.924220258
2072,1.548675692,2.369126364,1.248541829,2.663239657,1.958616389,1.959763919
2073,1.578214512,2.410445058,1.271118145,2.710332713,1.994172561,1.996307822
2074,1.61258906,2.45222957,1.303823224,2.754140533,2.032484427,2.034731045
2075,1.646206818,2.496576075,1.332436324,2.802469945,2.07109956,2.073283603
2076,1.680250336,2.543246403,1.362194509,2.85425669,2.111639847,2.113481011
2077,1.708995343,2.5901091,1.383580577,2.906874104,2.14987159,2.152634844
2078,1.737380387,2.633128077,1.4068937,2.953845254,2.184728161,2.187086955
2079,1.770431332,2.678088811,1.435831752,3.003932219,2.224037666,2.225952059
2080,1.80443887,2.724408305,1.4662833,3.054631304,2.26400891,2.265881566
2081,1.835819781,2.769751741,1.491504545,3.104273007,2.302561668,2.305478085
2082,1.864676962,2.812018578,1.517884965,3.150849188,2.338284428,2.340512919
2083,1.898416576,2.85858919,1.543765578,3.204090289,2.377918154,2.37992735
2084,1.927908611,2.907131881,1.566998431,3.258028066,2.417674232,2.420887563
2085,1.959651815,2.954792305,1.5927565,3.312771215,2.4569471,2.459516801
2086,1.991350269,3.000510529,1.619156486,3.365340641,2.495636652,2.49841357
2087,2.020127204,3.050036613,1.642982309,3.417607724,2.53448026,2.537069505
2088,2.056935585,3.099166889,1.673460698,3.472516969,2.577698056,2.580541658
2089,2.088957984,3.145065335,1.700494183,3.52271906,2.616707059,2.619298864
2090,2.122450578,3.192006741,1.728579605,3.577818972,2.656888862,2.659563723